name,slug,domain1,subdomain1,domain2,subdomain2,description,startDate,partnerIds,instructorIds,primaryLanguages,subtitleLanguages,specializations,certificates,courseType,id,s12nIds,stars,ratings_count,num_enrolled,difficulty,length,ins_stars,ins_ratings_count,ins_learners_count,ins_courses_count,content_rating,content_ratings_count
Análisis de datos con Python,analisis-de-datos-con-python,data-science,data-analysis,computer-science,software-development,"Aprenda a analizar datos con Python. Este curso lo llevará desde los conceptos básicos de Python hasta la exploración de muchos tipos diferentes de datos. Aprenderá a preparar datos para el análisis, realizar análisis estadísticos simples, crear visualizaciones de datos significativas, predecir tendencias futuras a partir de datos, ¡y más!

Tópicos cubiertos:

1) Importación de conjuntos de datos
2) Limpiar los datos
3) manipulación del marco de datos
4) Resumen de los datos
5) Creación de modelos de regresión de aprendizaje automático
6) Construcción de canalizaciones de datos

 El análisis de datos con Python se entregará a través de conferencias, laboratorio y asignaciones. Incluye las siguientes partes:

Bibliotecas de análisis de datos: aprenderá a usar las bibliotecas Pandas, Numpy y Scipy para trabajar con un conjunto de datos de muestra. Le presentaremos pandas, una biblioteca de código abierto, y la usaremos para cargar, manipular, analizar y visualizar conjuntos de datos interesantes. Luego, le presentaremos otra biblioteca de código abierto, scikit-learn, y usaremos algunos de sus algoritmos de aprendizaje automático para construir modelos inteligentes y hacer predicciones interesantes.

Si elige tomar este curso y obtener el certificado del curso de Coursera, también obtendrá una insignia digital de IBM.

OFERTA POR TIEMPO LIMITADO: La suscripción cuesta solo $ 39 USD por mes para acceder a materiales calificados y un certificado.",1604010294865,['348'],['28511493'],['es'],"['ar', 'vi', 'ko', 'tr', 'en', 'fa']",[],"['VerifiedCert', 'Specialization']",v2.ondemand,JCXrR9NfEeqH-gomp5dSNQ,"['PA1oEO1mEeqyWRK5raFSuQ', 'TruxoxrdEeuKTA7v2iL8uQ', 'mA4NmUOjEeuLqAr8KS4NdQ']",4.6,22,2022,Beginner Level,24,4.2,10,699698,24,,
Python Data Visualization,python-visualization,computer-science,software-development,data-science,data-analysis,"This if the final course in the specialization which builds upon the knowledge learned in Python Programming Essentials, Python Data Representations, and Python Data Analysis.  We will learn how to install external packages for use within Python, acquire data from sources on the Web, and then we will clean, process, analyze, and visualize that data. This course will combine the skills learned throughout the specialization to enable you to write interesting, practical, and useful programs.

By the end of the course, you will be comfortable installing Python packages, analyzing existing data, and generating visualizations of that data.  This course will complete your education as a scripter, enabling you to locate, install, and use Python packages written by others. You will be able to effectively utilize tools and packages that are widely available to amplify your effectiveness and write useful programs.",1513000972375,['13'],"['726142', '527518']",['en'],"['ar', 'fr', 'pt-PT', 'zh-CN', 'it', 'vi', 'de', 'ru', 'es']",[],"['VerifiedCert', 'Specialization']",v2.ondemand,WM6vmONeEea9axKK2AGYJA,['ewCyzIQhEee-EQoLeZ0BdA'],4.7,512,33231,Beginner Level,9,4.52,54,341993,11,,
Tout Pour Démarrer avec RStudio ,demarrer-avec-rstudio,data-science,data-analysis,computer-science,software-development,"Dans ce cours d'une heure, basé sur un projet, vous apprendrez comment démarrer avec RStudio IDE, sur votre ordinateur ou sur la solution en ligne de RStudio, comment créer des projets, installer des librairies R, ainsi qu'apprendre comment afficher des cartes interactives, des graphiques et des tableaux avec 1 ligne de code.

Remarque : ce cours fonctionne le mieux pour les étudiants basés en Amérique du Nord. Nous nous efforçons actuellement d'apporter la même expérience dans d'autres régions.",1601931466343,['565'],['19175842'],['fr'],[],[],['VerifiedCert'],v2.ondemand,Y5lK1vRrEeqUwwrWUZ7eOQ,[],,,,,,,,4213,,,
Python Data Structures,python-data,computer-science,software-development,data-science,data-analysis,"This course will introduce the core data structures of the Python programming language. We will move past the basics of procedural programming and explore how we can use the Python built-in data structures such as lists, dictionaries, and tuples to perform increasingly complex data analysis. This course will cover Chapters 6-10 of the textbook “Python for Everybody”.  This course covers Python 3.",1442270539818,['3'],['122340'],['en'],"['ar', 'fr', 'pt-PT', 'zh-CN', 'it', 'vi', 'ko', 'de', 'ru', 'es']",[],"['VerifiedCert', 'Specialization']",v2.ondemand,P--h6zpNEeWYbg7p2_3OHQ,['F-h1g0w7EeWeOApO_l5R1w'],4.9,88937,853558,,19,4.88,10644,3366367,47,98%,137339
"Despliegue de modelos Deep Learning: Flask, heroku, Postman",despliegue-modelos-deep-learning-flask-heroku-postman,data-science,machine-learning,information-technology,cloud-computing,"En este proyecto aprenderás acerca del despliegue de modelos Deep Learning en producción, utilizando herramientas como Flask, heroku y Postman.",1635515153205,['565'],['46454754'],['es'],[],[],['VerifiedCert'],v2.ondemand,teFIUyBSEeymZwrrGHVoWw,[],,,,,,,,15787,,,
Microsoft Azure Machine Learning for Data Scientists,microsoft-azure-machine-learning-for-data-scientist,data-science,machine-learning,information-technology,cloud-computing,"Machine learning is at the core of artificial intelligence, and many modern applications and services depend on predictive machine learning models. Training a machine learning model is an iterative process that requires time and compute resources. Automated machine learning can help make it easier. In this course, you will learn how to use Azure Machine Learning to create and publish models without writing code.

This is the second course in a five-course program that prepares you to take the DP-100: Designing and Implementing a Data Science Solution on Azurecertification exam.

The certification exam is an opportunity to prove knowledge and expertise operate machine learning solutions at a cloud-scale using Azure Machine Learning. This specialization teaches you to leverage your existing knowledge of Python and machine learning to manage data ingestion and preparation, model training and deployment, and machine learning solution monitoring in Microsoft Azure. Each course teaches you the concepts and skills that are measured by the exam. 

This Specialization is intended for data scientists with existing knowledge of Python and machine learning frameworks like Scikit-Learn, PyTorch, and Tensorflow, who want to build and operate machine learning solutions in the cloud. It teaches data scientists how to create end-to-end solutions in Microsoft Azure. Students will learn how to manage Azure resources for machine learning; run experiments and train models; deploy and operationalize machine learning solutions, and implement responsible machine learning. They will also learn to use Azure Databricks to explore, prepare, and model data; and integrate Databricks machine learning processes with Azure Machine Learning.",1633969228226,['705'],['56970540'],['en'],[],[],"['VerifiedCert', 'Specialization']",v2.ondemand,BodTN_klEeukBQ7mhHsHKQ,['ZiHm5v97EeuB3hKty_AkbQ'],4.6,21,,Intermediate Level,11,,,90079,41,,
Advanced Features with Relational Database Tables Using SQLiteStudio,advanced-features-relational-database-table-sqlitestudio,information-technology,data-management,data-science,data-analysis,"In this course, you’ll increase your knowledge of and experience with relational tables as you explore alternative ways of getting data into tables. You’ll also look at some of the advanced features that can give relational tables super powers.  As you learn about the new features, you’ll use SQLiteStudio to apply them to your tables. Those features will enable your tables to more efficiently manage data—while keeping your data safe and accurate.  

Tables are great for data storage. The concept of organizing data in rows and columns is familiar to most people. Accountants use spreadsheets to organize financial data, making it easier to budget and track expenses. Parents use lists with columns to track their family’s schedules so that everyone gets to participate in outside activities. Even the Internal Revenue Service gets in the game by using tax tables to provide tax amounts for a variety of incomes. Even a simple grocery list is tabular in nature. Each row is an item, with one column having the item's name/description, and a second column noting the quantity needed. It’s no surprise that database designers like to use tables in a relational database to organize and store data. In the Design and Create a Relational Database Table Using SQLiteStudio course you learned about tables. You created and populated a relational table using the SQLiteStudio database management system. That was a great beginning.  Now it's time for the next step!",1588623601549,['565'],['56217608'],['en'],[],[],['VerifiedCert'],v2.ondemand,M9RcAIizEeqGaxK8GeEevQ,[],4.7,104,3112,,,4.59,8,60845,,,
What is Data Science? ,what-is-datascience,data-science,data-analysis,,,"The art of uncovering the insights and trends in data has been around since ancient times. The ancient Egyptians used census data to increase efficiency in tax collection and they accurately predicted the flooding of the Nile river every year. Since then, people working in data science have carved out a unique and distinct field for the work they do. This field is data science. In this course, we will meet some data science practitioners and we will get an overview of what data science is today.",1520864132943,['348'],"['28513748', '28512151']",['en'],"['ar', 'fr', 'pt-PT', 'it', 'vi', 'de', 'ru', 'tr', 'es']",[],"['VerifiedCert', 'Specialization']",v2.ondemand,r0GnHOZaEees-Q6jQMxlrg,"['_Fk2Gi3cEeiHghIydZ_0lA', 'child~d5Ym7WWaEeuOYw4Q6REzlw', 'mF13zqpxEeqDdgqb325wdw', 'zn_b0Y_lEeqE2Q5NANyNFw']",4.7,54016,588024,Beginner Level,9,4.69,13522,1066954,31,96%,111936
Computer Vision in Microsoft Azure,computer-vision-microsoft-azure,information-technology,cloud-computing,data-science,machine-learning,"In Microsoft Azure, the Computer Vision cognitive service uses pre-trained models to analyze images, enabling software developers to easily build applications""see"" the world and make sense of it. This ability to process images is the key to creating software that can emulate human visual perception. In this course, you'll explore some of these capabilities as you learn how to use the Computer Vision service to analyze images.

This course will help you prepare for Exam AI-900: Microsoft Azure AI Fundamentals. This is the third course in a five-course program that prepares you to take the AI-900 certification exam. This course teaches you the core concepts and skills that are assessed in the AI fundamentals exam domains.  This beginner course is suitable for IT personnel who are just beginning to work with Microsoft Azure and want to learn about Microsoft Azure offerings and get hands-on experience with the product. Microsoft Azure AI Fundamentals can be used to prepare for other Azure role-based certifications like Microsoft Azure Data Scientist Associate or Microsoft Azure AI Engineer Associate, but it is not a prerequisite for any of them.

This course is intended for candidates with both technical and non-technical backgrounds. Data science and software engineering experience is not required; however, some general programming knowledge or experience would be beneficial.  To be successful in this course, you need to have basic computer literacy and proficiency in the English language. You should be familiar with basic computing concepts and terminology,  general technology concepts, including concepts of machine learning and artificial intelligence.",1621458309018,['705'],['56970540'],['en'],[],[],"['VerifiedCert', 'Specialization']",v2.ondemand,BBWz15fDEeu46w60Xgbpdw,['E74CT6zLEeuE4RJ3s7BHqw'],4.6,37,2015,Beginner Level,8,4.66,8,90079,41,,
Series temporales con Facebook’ Prophet y NeuralProphet,series-temporales-facebook-prophet-neuralprophet,data-science,machine-learning,data-science,data-analysis,"En este proyecto aplicado y práctico aprenderás a utilizar Prophet y neuralProphet. 
Prophet es una de las librerías más avanzadas para predecir series temporales desarrollada por Facebook. Te enseñaremos a como entrenar un modelo con Prophet, a añadir regresores adicionales como periodos vacacionales y variables adicionales, a optimizarlo y a utilizarlo para realizar predicciones futuras. 
También aprenderemos a utilizar neuralProphet, que esta basada en modelos de deep learning.

Al finalizar este curso habrás aprendido a entrenar tus propios modelos y a aplicarlos en tus propios proyectos.",1631474409491,['565'],['46454754'],['es'],[],[],['VerifiedCert'],v2.ondemand,-rt3AvadEeuEcw6azz3PZQ,[],,,,,,,,15787,,,
Machine Learning with H2O Flow,machine-learning-h2o-flow,data-science,machine-learning,data-science,data-analysis,"This is a hands-on, guided introduction to using H2O Flow for machine learning. By the end of this project, you will be able to train and evaluate machine learning models with H2O Flow and AutoML, without writing a single line of code! You will use the point and click, web-based interface to H2O called Flow to solve a business analytics problem with machine learning.

H2O is a leading open-source machine learning and artificial intelligence platform trusted by data scientists and machine learning practitioners. It has APIs available in R, Python, Scala, and also a web-based point and click interface called Flow. H2O's AutoML automates the process of training and tuning a large selection of models, allowing the user to focus on other aspects of the data science and machine learning pipelines such as data pre-processing, feature engineering, and model deployment.

To get the most out of this project, we recommend that you have an understanding of basic machine learning theory, and have trained machine learning models.

Note: This course works best for learners who are based in the North America region. We’re currently working on providing the same experience in other regions.",1592417042749,['565'],['15528766'],['en'],[],[],['VerifiedCert'],v2.ondemand,M9NAb6yNEeq05Q4jrg0zbQ,[],4.7,99,3951,,,,,139004,,,
"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning",introduction-tensorflow,computer-science,software-development,data-science,data-analysis,"If you are a software developer who wants to build scalable AI-powered algorithms, you need to understand how to use the tools to build them. This course is part of the upcoming Machine Learning in Tensorflow Specialization and will teach you best practices for using TensorFlow, a popular open-source framework for machine learning. 

The Machine Learning course and Deep Learning Specialization from Andrew Ng teach the most important and foundational principles of Machine Learning and Deep Learning. This new deeplearning.ai TensorFlow Specialization teaches you how to use TensorFlow to implement those principles so that you can start building and applying scalable models to real-world problems. To develop a deeper understanding of how neural networks work, we recommend that you take the Deep Learning Specialization.",1551834020039,['475'],['10261328'],['en'],"['ar', 'fr', 'pt-PT', 'it', 'vi', 'de', 'ru', 'tr', 'es', 'ja']",[],"['VerifiedCert', 'Specialization']",v2.ondemand,YpwHVDb5EemE7gr4SGSAsA,['5ghJ5U8zEemp3woY6REV3A'],4.7,17112,290559,Intermediate Level,19,4.82,4300,365580,15,96%,38442
Hands-on Text Mining and Analytics,text-mining-analytics,data-science,data-analysis,computer-science,software-development,"This course provides an unique opportunity for you to learn key components of text mining and analytics aided by the real world datasets and the text mining toolkit written in Java. Hands-on experience in core text mining techniques including text preprocessing, sentiment analysis, and topic modeling help learners be trained to be a competent data scientists. 

Empowered by bringing lecture notes together with lab sessions based on the y-TextMiner toolkit developed for the class, learners will be able to develop interesting text mining applications.",1475535544538,['220'],['21047713'],['en'],"['fr', 'pt-PT', 'zh-CN', 'ru', 'es']",[],['VerifiedCert'],v2.ondemand,05ISI2XaEeadpwpiiuGnhw,[],3.9,39,14259,Intermediate Level,13,,,14259,1,,
Interactive Machine Learning Dashboards using Plotly Dash,interactive-dashboards-plotly-dash,data-science,machine-learning,,,"In this 2 hour long project-based course, you will learn how to create an HTML outline of a Plotly Dash dashboard. You will design interactive dropdown lists, radio buttons, and most importantly, scatter plots and bar charts that respond to your mouse's hover. You will learn how to visualize dimensionality reduction results intuitively and interactively, and see how these models can be used in Customer Segmentation. Furthermore, we will discuss how to critically evaluate these models, and what to look out for in a well-performing model.

Note: This course works best for learners who are based in the North America region. We’re currently working on providing the same experience in other regions.",1601573817044,['565'],['26545661'],['en'],[],[],['VerifiedCert'],v2.ondemand,RmaqVgNcEeuNYxINo_w6cw,[],4.3,23,,,,,,28440,,,
Quantitative Text Analysis and Evaluating Lexical Style in R,quantitative-text-analysis-and-evaluating-lexical-style-in-r,data-science,data-analysis,social-sciences,economics,"By the end of this project, you will learn about the concept of lexical style in textual analysis in R. You will know how to load and pre-process a data set of text documents by converting the data set into a corpus and document feature matrix. You will know how to calculate the type to token ration which evaluates the level of complexity of a text, and know how to isolate terms of particular lexical interest in a text and visualize the variation in frequency of such terms in texts over time.",1634317199763,['565'],['702332'],['en'],[],[],['VerifiedCert'],v2.ondemand,Ami77CU3EeyYSQpZ2Lq_Yw,[],,,,,,,,918,,,
Calcul de données en SQL,calcul-de-donnees-en-sql,data-science,data-analysis,information-technology,data-management,"Dans ce projet guidé d'une heure, vous apprendrez à faire une requête SQL pour calculer les données, et aussi à les grouper et calculer les données d’un groupe des enregistrements.
À la fin de ce projet, nous aurons appris à créer et exploiter les requêtes de recherche avec les fonctions d'agrégations et les clauses GROUP BY et HAVING dans SQL.",1647357597951,['565'],['95574541'],['fr'],[],[],['VerifiedCert'],v2.ondemand,gGl9zF-MEeyIUg4Qv2RsBQ,[],,,,,,,,33,,,
Sentiment Analysis with Deep Learning using BERT,sentiment-analysis-bert,data-science,machine-learning,,,"In this 2-hour long project, you will learn how to analyze a dataset for sentiment analysis. You will learn how to read in a PyTorch BERT model, and adjust the architecture for multi-class classification. You will learn how to adjust an optimizer and scheduler for ideal training and performance. In fine-tuning this model, you will learn how to design a train and evaluate loop to monitor model performance as it trains, including saving and loading models. Finally, you will build a Sentiment Analysis model that leverages BERT's large-scale language knowledge.

Note: This course works best for learners who are based in the North America region. We’re currently working on providing the same experience in other regions.",1588358258998,['565'],['26545661'],['en'],[],[],['VerifiedCert'],v2.ondemand,AvyjCoukEeqXEw5raBKHbw,[],4.5,359,12405,,,4.54,29,28440,,,
Doing Economics: Measuring Climate Change,doing-economics-measuring-climate-change,data-science,data-analysis,social-sciences,economics,"This course will give you practical experience in working with real-world data, with applications to important policy issues in today’s society. Each week, you will learn specific data handling skills in Excel and use these techniques to analyse climate change data, with appropriate readings to provide background information on the data you are working with. You will also learn about the consequences of climate change and how governments can address this issue.

After completing this course, you should be able to:
•	Understand how data can be used to assess the extent of climate change
•	Produce appropriate bar charts, line charts, and scatterplots to visualise data  
•	Calculate and interpret summary statistics (mean, median, variance, percentile, correlation)
•	Explain the challenges with designing and implementing policies that address climate change

No prior knowledge in economics or statistics is required for this course. No knowledge of Excel is required, except a familiarity with the interface and how to enter and clear data.",1651681768442,"['26', '1157', '1158']","['103879005', '104523400']",['en'],[],[],['VerifiedCert'],v2.ondemand,tpnHZ7eaEeuhvApQ-8cGMw,[],,,,Beginner Level,15,,,118,1,,
New Product Development For Small Businesses and Start-Ups,new-product-dev-smes,business,entrepreneurship,data-science,data-analysis,"In this 1 hr 40 mins long project-based course, you will learn about the process of developing a new product for start-up companies, and small and medium-sized enterprises (SMEs). You will learn about idea generation and the evaluation processes in product development by using an idea generation model and online resources like Google Trends and Amazon. You will use methods to evaluate your product concept through market segmentation, growth potential, and the competition to your product. You will also evaluate a supplier and the cost to your product by analyzing component prices and production rates. By the end of this project, you will be able to create a full retrospective plan for the product launch and understand how and why the specifications are done.


Note: This course works best for learners who are based in the North America region. We’re currently working on providing the same experience in other regions.",1597096290209,['565'],['26548386'],['en'],[],[],['VerifiedCert'],v2.ondemand,nxml3MX8EeqYWA5h_QkAcQ,[],4.4,122,6329,,,4.37,8,7531,,,
AI Workflow: Enterprise Model Deployment,ibm-ai-workflow-machine-learning-model-deployment,data-science,machine-learning,data-science,data-analysis,"This is the fifth course in the IBM AI Enterprise Workflow Certification specialization.   You are STRONGLY encouraged to complete these courses in order as they are not individual independent courses, but part of a workflow where each course builds on the previous ones.

This course introduces you to an area that few data scientists are able to experience: Deploying models for use in large enterprises.  Apache Spark is a very commonly used framework for running machine learning models.  Best practices for using Spark will be covered in this course.  Best practices for data manipulation, model training, and model tuning will also be covered.  The use case will call for the creation and deployment of a recommender system. The course wraps up with an introduction to model deployment technologies.
 
By the end of this course you will be able to:
1.  Use Apache Spark's RDDs, dataframes, and a pipeline
2.  Employ spark-submit scripts to interface with Spark environments
3.  Explain how collaborative filtering and content-based filtering work
4.  Build a data ingestion pipeline using Apache Spark and Apache Spark streaming
5.  Analyze hyperparameters in machine learning models on Apache Spark
6.  Deploy machine learning algorithms using the Apache Spark machine learning interface
7.  Deploy a machine learning model from Watson Studio to Watson Machine Learning

Who should take this course?
This course targets existing data science practitioners that have expertise building machine learning models, who want to deepen their skills on building and deploying AI in large enterprises. If you are an aspiring Data Scientist, this course is NOT for you as you need real world expertise to benefit from the content of these courses.

What skills should you have?
It is assumed that you have completed Courses 1 through 4 of the IBM AI Enterprise Workflow specialization and you have a solid understanding of the following topics prior to starting this course: Fundamental understanding of Linear Algebra; Understand sampling, probability theory, and probability distributions; Knowledge of descriptive and inferential statistical concepts; General understanding of machine learning techniques and best practices; Practiced understanding of Python and the packages commonly used in data science: NumPy, Pandas, matplotlib, scikit-learn; Familiarity with IBM Watson Studio; Familiarity with the design thinking process.",1575658941758,['348'],"['3361296', '41951951']",['en'],[],[],"['VerifiedCert', 'Specialization']",v2.ondemand,UZu0wtZPEemAZRLx6FCxVg,['kiCXgpRzEemmZw4Fe4iRaA'],4.1,46,2139,Advanced Level,9,4.0,7,34288,13,,
Troubleshooting and Solving Data Join Pitfalls,googlecloud-troubleshooting-and-solving-data-join-pitfalls-ukiqz,data-science,data-analysis,information-technology,data-management,This is a self-paced lab that takes place in the Google Cloud console. This lab focuses on how to reverse-engineer the relationships between data tables and the pitfalls to avoid when joining them together.,1648662267315,['443'],['22997770'],['en'],[],[],['VerifiedCert'],v2.ondemand,tGLtWKksEeywagovoAKHOQ,[],,,,,,,,,,,
Data Visualization e manipolazione dei dati con Tableau,data-visualization-manipolazione-tableau,data-science,data-analysis,business,business-strategy,"I contenuti di questo corso sono pensati per permettere agli utilizzatori di Tableau di migliorare le proprie capacità sull’uso del tool, a un livello intermedio.

Spesso i dati provengono da fonti diverse; dobbiamo quindi essere in grado di stabilire tra questi delle relazioni che ci permettano di includere in un’analisi tutte le informazioni di cui abbiamo bisogno. Vedremo quindi come costruire queste relazioni su Tableau, ricorrendo a Join, Union e Data Blending.

Lavoreremo con i campi calcolati e i parametri. I primi sono nuovi campi (dimensioni e misure) che, a partire dalla logica utilizzata, aggiungono nuovi dati al data base di partenza. I secondi, invece, sono valori dinamici che possono essere impiegati in tantissimi modi per personalizzare i propri calcoli e la loro visualizzazione all’interno dello spazio di lavoro.

Vedremo come Tableau esegue le operazioni di calcolo secondo un ordine preciso, che influisce sui risultati dei calcoli che facciamo. Andremo infine a lavorare con i dati geografici. Nel processo analitico, sono diverse le domande che possiamo porci. Padroneggiando le conoscenze sulla manipolazione dei dati geografici possiamo rispondere al “dove”, un aspetto fondamentale da considerare nel processo analitico.",1618563081386,['619'],['82013523'],['it'],[],[],"['VerifiedCert', 'Specialization']",v2.ondemand,rAdvCUU6Eeu5YxIbcwLDzw,['K4jWk4KYEeusLw6jAKT62Q'],,,,Intermediate Level,19,,,359,3,,
Intro to TensorFlow em Português Brasileiro,intro-tensorflow-br,data-science,machine-learning,information-technology,cloud-computing,"O objetivo deste curso é aproveitar a flexibilidade e a facilidade de uso do TensorFlow 2.x e do Keras para criar, treinar e implantar modelos de machine learning.  Você aprenderá sobre a hierarquia da API TensorFlow 2.x e conhecerá os principais componentes do TensorFlow nos exercícios práticos.  Mostraremos como trabalhar com conjuntos de dados e colunas de atributos. Você aprenderá a projetar e criar um pipeline de entrada de dados do TensorFlow 2.x.  Você terá uma experiência prática com o carregamento de dados CSV, matrizes numpy, dados de texto e imagens usando o tf.Data.Dataset e com a criação de colunas de atributos numéricas, categóricas, em bucket e com hash.

Apresentaremos as APIs Keras Sequential e Keras Functional para mostrar como criar modelos de aprendizado profundo.  Abordaremos as funções de ativação, perda e otimização.  Nos laboratórios práticos dos notebooks do Jupyter, você poderá criar modelos de machine learning de regressão linear básica e de regressão logística básica e avançada.  Você aprenderá a treinar, implantar e produzir modelos de machine learning em escala com o AI Platform do Cloud.",1540323391979,['443'],['22997770'],['pt-BR'],['en'],[],"['VerifiedCert', 'Specialization']",v2.ondemand,4IaPepXJEeir-RIKs5gHUA,['zFLn26JiEeiiNRK4Ue9X2g'],4.6,23,,Intermediate Level,18,,,1678326,925,,
Advanced Deep Learning Methods for Healthcare,advanced-deep-learning-methods-healthcare,data-science,machine-learning,computer-science,algorithms,"This course covers deep learning (DL) methods, healthcare data and applications using DL methods. The courses include activities such as video lectures, self guided programming labs, homework assignments (both written and programming), and a large project.

The first phase of the course will include video lectures on different DL and health applications topics, self-guided labs and multiple homework assignments. In this phase, you will build up your knowledge and experience in developing practical deep learning models on healthcare data. The second phase of the course will be a large project that can lead to a technical report and functioning demo of the deep learning models for addressing some specific healthcare problems. We expect the best projects can potentially lead to scientific publications.",1643406194327,['17'],['49374407'],['en'],[],[],"['VerifiedCert', 'Specialization']",v2.ondemand,YO9_vwpyEeun9Q5tylnU9Q,['pn-KOF3bEeykngrRUF5Grw'],,,,Advanced Level,16,,,1811,4,,
Using SAS Viya REST APIs with Python and R,sas-viya-rest-api-python-r,data-science,data-analysis,data-science,probability-and-statistics,"SAS Viya is an in-memory distributed environment used to analyze big data quickly and efficiently. In this course, you’ll learn how to use the SAS Viya APIs to take control of SAS Cloud Analytic Services from a Jupyter Notebook using R or Python. You’ll learn to upload data into the cloud, analyze data, and create predictive models with SAS Viya using familiar open source functionality via the SWAT package -- the SAS Scripting Wrapper for Analytics Transfer. You’ll learn how to create both machine learning and deep learning models to tackle a variety of data sets and complex problems. And once SAS Viya has done the heavy lifting, you’ll be able to download data to the client and use native open source syntax to compare results and create graphics.",1561048848567,['520'],"['29724917', '41124823']",['en'],"['fr', 'pt-PT', 'ru', 'es']",[],['VerifiedCert'],v2.ondemand,N9ARoTR9Eem8AApO0WzJlA,[],4.6,14,3204,,18,,,33033,4,,
Bioconductor for Genomic Data Science,bioconductor,data-science,data-analysis,life-sciences,health-informatics,Learn to use tools from the Bioconductor project to perform analysis of genomic data. This is the fifth course in the Genomic Big Data Specialization from Johns Hopkins University.,1453137680526,['8'],['10528550'],['en'],"['fr', 'pt-PT', 'ru', 'es']",[],"['VerifiedCert', 'Specialization']",v2.ondemand,mUSYT5noEeWqkw5zNB248Q,['child~WbhKbhWLEeyTfRKCDt3rxw'],3.9,316,18682,,9,4.0,23,19045,2,88%,1088
TensorFlow for CNNs: Learn and Practice CNNs,tensorflow-for-cnns-learn-and-practice-cnns,data-science,machine-learning,,,"This guided project course is part of the ""Tensorflow for Convolutional Neural Networks"" series, and this series presents material that builds on the second course of DeepLearning.AI TensorFlow Developer Professional Certificate, which will help learners reinforce their skills and build more projects with Tensorflow.

In this 2-hour long project-based course, you will learn the fundamentals of CNNs, structure, components, and how they work, and you will learn practically how to solve an image classification deep learning task in the real world and create, train, and test a neural network with Tensorflow using real-world images, and you will get a bonus deep learning exercise implemented with Tensorflow. By the end of this project, you will have learned the fundamentals of convolutional neural networks and created a deep learning model with TensorFlow on a real-world dataset.

This class is for learners who want to learn how to work with convolutional neural networks and use Python for building convolutional neural networks with TensorFlow, and for learners who are currently taking a basic deep learning course or have already finished a deep learning course and are searching for a practical deep learning project with TensorFlow. Also, this project provides learners with further knowledge about creating and training convolutional neural networks and improves their skills in Tensorflow which helps them in fulfilling their career goals by adding this project to their portfolios.",1602286520218,['565'],['31239514'],['en'],[],[],['VerifiedCert'],v2.ondemand,w7kZtwo-EeuWNw71wOIUfQ,[],4.4,35,,,,,,23059,,,
Interpretable Machine Learning Applications: Part 4,interpretable-machine-learning-applications-part-4,data-science,machine-learning,computer-science,software-development,"In this 1-hour long guided project, you will learn how to use the ""What-If"" Tool (WIT) in the context of training and testing machine learning prediction models. In particular, you will learn a) how to set up a machine learning application in Python by using interactive Python notebook(s) on Google's Colab(oratory) environment, a.k.a. ""zero configuration"" environment, b) import and prepare the data, c) train and test classifiers as prediction models, d) analyze the behavior of the trained prediction models by using WIT for specific data points (individual basis), e)  moving on to the analysis of the behavior of the trained prediction models by using WIT global basis, i.e., all test data considered.

Note: This course works best for learners who are based in the North America region. We’re currently working on providing the same experience in other regions.",1618583692010,['565'],['1312594'],['en'],[],[],['VerifiedCert'],v2.ondemand,72qAZZbqEeuFpwo_oTjObQ,[],,,,,,,,507,,,
Deep Learning with PyTorch : Image Segmentation ,deep-learning-with-pytorch-image-segmentation,data-science,machine-learning,,,"In this 2-hour project-based course, you will be able to :

-  Understand the Segmentation Dataset and you will write a custom dataset class for Image-mask dataset. Additionally,  you will apply segmentation augmentation to augment images as well as its masks. For image-mask augmentation you will use albumentation library. You will plot the image-Mask pair.

- Load a pretrained state of the art convolutional neural network for segmentation problem(for e.g, Unet) using segmentation model pytorch library. 

- Create train function and evaluator function which will helpful to write training loop. Moreover, you will use training loop to train the model.",1635806213110,['565'],['42281109'],['en'],[],[],['VerifiedCert'],v2.ondemand,04kQ_is8EeyavRI3rIvGvQ,[],4.2,21,1714,,,,,7693,,,
Interpreting Machine Learning datasets,interpreting-ml,data-science,data-analysis,data-science,machine-learning,"In this 2-hour long project-based course, you will learn how to interpret the dataset for machine learning, how different features impact on a mode and how to evaluate them.",1630601591034,['565'],['17851890'],['en'],[],[],['VerifiedCert'],v2.ondemand,ciGA_gd8EeyfCRK_crecDw,[],,,,,,,,2285,,,
"Save, Load and Export Models with Keras",save-load-export-keras-models,data-science,machine-learning,computer-science,software-development,"In this 1 hour long project based course, you will learn to save, load and restore models with Keras. In Keras, we can save just the model weights, or we can save weights along with the entire model architecture. We can also export the models to TensorFlow's Saved Mode format which is very useful when serving a model in production, and we can load models from the Saved Model format back in Keras as well. 

In order to be successful in this project, you should be familiar with python programming, and basics of neural networks. 

Note: This course works best for learners who are based in the North America region. We’re currently working on providing the same experience in other regions.",1581095920894,['565'],['7545245'],['en'],[],[],['VerifiedCert'],v2.ondemand,kusY1kmfEeqmAw7Qsot8eQ,[],4.6,93,3680,,,,,197853,,,
